Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUB30617	US	Tales From Space: Mutant Blobs Attack Growing Pains Theme	http://zeus.dl.playstation.net/cdn/UP2045/NPUB30617_00/QjjFMxpeybxCqwESDJZdZAeIWkVjrVHjWXomWaqgFAXNCUeLWkDoFomnRhUujiis.pkg	09f3e673d9bc47e3f72ba43a0ee2e01a	UP2045-NPUB30617_00-BLOBSTHEMEGROWIN			6701472			Jul 23, 2026
BLUS30835	US	Hitman: Absolution - Crossed Hands Dynamic Theme	http://zeus.dl.playstation.net/cdn/UP0082/BLUS30835_00/MPrfZBAvxzYIWVhKyCGtZAxVmBomYRBnyikcQIGzjYBdDXhDzQIZRxsOuHaLNnniVTaMDuFzqheXduOpUYhGBgplMrdguMqKxWeWq.pkg	35959f420ed55f31efbd29aabd4772d4	UP0082-BLUS30835_00-CROSSEDHANDDYNTH			3100544			Jul 23, 2026
NPEO00147	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00147_00/pZMpAKMKxxhfrahHhZlBUIXPxdeoMooHXMOjHEqvqxWHXFZbrojazSNidTWpCsbW.pkg	MISSING	EP9000-NPEO00147_00-TVODAFONEC000001			1721200			Jul 23, 2026
NPEO00156	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00156_00/EgpVFrWncwRjCsKPuCXmKSttFYmzWIrrEpUQZeqSFXZUAiILfBOnDBtgTnbAkUzK.pkg	MISSING	EP9000-NPEO00156_00-TADSALESGA000EN5			3505376			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/UHhJieiXDOLfphKBTywRpNoUtuZkIQSHdAnFhhRNOKhQyonVzFiEBAnyupmcRDWk.pkg	MISSING	EP9000-NPEO00154_00-TADSALESHANGOVDY			9534768			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/uyQWlgxjLTjORnyTfICBUYwYerlVZFqDBuvJNWuhkwrlRQHuEakyQORJpOmjyWXf.pkg	MISSING	EP9000-NPEO00154_00-THEHOBBITDYN00EN			5403984			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/uZNIsvbVPvVDLsaBOIxdzlkPeWiSiLqCyudrSUwnxgyPCtlofuWCEEQwhYsLeGVk.pkg	MISSING	EP9000-NPEO00154_00-THEHOBBIT00EN002			1892592			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/WQYjOouBjybWvhsGhtHIbMPAHyisQGSBrXCUrOqffhlTgavzbkauxsQarkOZEuuR.pkg	MISSING	EP9000-NPEO00154_00-THEHOBBIT00EN001			1695872			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/JQsKIMJVSgNYymiWyNxgytuZqqbnhGuBodIhvWCHOumCwiCLteGjrtMlyYOjUtKs.pkg	MISSING	EP9000-NPEO00154_00-THEHOBBIT00EN004			1580752			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/mtWXgkpWZjyRUjUBYIeObxvVPFpVJnaPdAmtQnEBFCyRtvXrjFjPGrPKKdlzBpUJ.pkg	MISSING	EP9000-NPEO00154_00-THEHOBBIT00EN003			1490464			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/zuCqDcuuOLheiUoAEPmAWLfCXoBjnZcpuBOfSXjivSCRVxCMStQbfiVAXgZSyDsU.pkg	MISSING	EP9000-NPEO00154_00-PACRIMDYN00000EN			4686720			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/rbEzpahJzmNPIBfAoIbuawbeprgdpkuVKpDumFuKedbtRGsvGoUWzyBWPFWakrePHlWErDaUCOQGlcgXmHfdxURJIKrxFZImjDpoz.pkg	MISSING	EP9000-NPEO00154_00-BTMNVSPRMNDYNTHM			4602720			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/AoKwlRhFADGObOdLLkkDjEvIIoVtFtnOxsqjOEcKmpbxtLbKnsRFpLNUnnivmKRkZNdzMKTfWBuWhkVrLUWBKMVbcFsqRlhMtKiIM.pkg	MISSING	EP9000-NPEO00154_00-SUICIDESQUADDTEN			8333280			Jul 23, 2026
BLUS31176	US	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/UP0001/BLUS31176_00/EfnvNfRAtaimDKucZhEispNJjQbeCGQeMItIGIwuLLnKFWuZDMsxpTsBHtOvkgdK.pkg	MISSING	UP0001-BLUS31176_00-WDPREORDERTHEME0			5025440			Jul 23, 2026
BLUS31011	US	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/UP0002/BLUS31011_00/vJgRhZTEZNvmMMussmgRElCewvwdrJwKjYOGLxTeajZVcazVIiBocvLPqWaWeKtw.pkg	MISSING	UP0002-BLUS31011_00-CODBO2TURBINE000			11100176			Jul 23, 2026
BLUS31011	US	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/UP0002/BLUS31011_00/WZpSbeLixilhfrVZqHmIDbfjrXUiyqYUuSSICvBWHdOLZnWWQQmPAMqPCVhKRnXf.pkg	MISSING	UP0002-BLUS31011_00-CODBO2ZOMBIE0000			8991088			Jul 23, 2026
BCAS20279	ASIA	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/HP0082/BCAS20279_00/HtlUGUImNLTEPEeBkOXTrIEQcClgpWDbatrxZyTtDhQSxgLLGwMuBTzJXMNYMKLCOgJZJsfgTVcoYFOCRwLdZlMWJolhiuCCLFOTb.pkg	MISSING	HP0082-BCAS20279_00-LRFF13PS3THEME02			2109984			Jul 23, 2026
NPEP00126	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00126_00/MELyPLVcmkqhFKSRdMtWbKtTRTvISEpXQJccREkhURugyobPIxdkBhVNXGSIOKTF.pkg	MISSING	EP0002-NPEP00126_00-CODMW3FREET00002			4980544			Jul 23, 2026
NPEP00235	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00235_00/toNfkJQarHZqqbuVTUkORWpMwuSrTIVhRoXlnAjqcwZukARHFeyuPNKSNDPPdCjNmYcBIWbeqLWepqJMOhottsZinKkjzdMDItuae.pkg	MISSING	EP0002-NPEP00235_00-TCALLOFDUT000001			12244368			Jul 23, 2026
NPEP00285	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00285_00/ZKXAaQLdMPpLJhkWQwWPFEviVvEOBZhVrEGgFNuelHLIqGzJEKUqHIkrdObiMkIZ.pkg	MISSING	EP0002-NPEP00285_00-TKINGSQUES000001			3247024			Jul 23, 2026
NPEP00292	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0102/NPEP00292_00/nfCklujgHvVmJLOzUSrmPpukGNTiepDYZVgQurMfvqAjMklyjyezhbgndIuBkXUk.pkg	MISSING	EP0102-NPEP00292_00-BH0HDTHEME000001			16717280			Jul 23, 2026
NPEP00115	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0102/NPEP00115_00/dmOqIDjGiAdSXwOjWFqNowURGziOjAGGRninZjnnYQTAZNmajpPpbASVGnTHjufK.pkg	MISSING	EP0102-NPEP00115_00-STREETFI3O000001			11812480			Jul 23, 2026
NPEP00053	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0177/NPEP00053_00/iJo1WDm4PFjo4HvWMhb1rPBgmp8I8oWqlMjPsuLDqivYi3YRi08j42sgSOgjMvuutbumfq4wW3PEsKuYqfRLmDFasyYEPvYByTqLh.pkg	MISSING	EP0177-NPEP00053_00-AFTRBURNERCLIMAX			5703744			Jul 23, 2026
NPEP00173	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0700/NPEP00173_00/dztwKBnaMJXqiSDpMNpQNcVlLIeTysNZCdZsLVFRbHDqfbtUoABvkDeXkNLonSeH.pkg	MISSING	EP0700-NPEP00173_00-TTEKKENTAG000002			3192064			Jul 23, 2026
NPEP00173	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0700/NPEP00173_00/KlwSyyCWCsSKPtmnzCicCMujnYITxpQgzhXtiwgnZwzuSVONRvNaMpSCzvQUEgwv.pkg	MISSING	EP0700-NPEP00173_00-TTEKKENTAG000003			13220928			Jul 23, 2026
